"","","",""
"","Coverage","",""
"Treatment","mean","sd","std.error"
"BH","0.84","1.4993","0.6705"
"BM","0.22","0.2588","0.1158"
"LH","1.44","1.8810","0.8412"
"LM","0.20","0.2739","0.1225"
"W","0.10","0.2236","0.1000"
"C","0.00","0.0000","0.0000"
