"","parent_call","W_vs_LM.Df","W_vs_LM.SumOfSqs","W_vs_LM.R2","W_vs_LM.F","W_vs_LM.Pr..F.","W_vs_BM.Df","W_vs_BM.SumOfSqs","W_vs_BM.R2","W_vs_BM.F","W_vs_BM.Pr..F.","W_vs_C.Df","W_vs_C.SumOfSqs","W_vs_C.R2","W_vs_C.F","W_vs_C.Pr..F.","W_vs_LH.Df","W_vs_LH.SumOfSqs","W_vs_LH.R2","W_vs_LH.F","W_vs_LH.Pr..F.","W_vs_BH.Df","W_vs_BH.SumOfSqs","W_vs_BH.R2","W_vs_BH.F","W_vs_BH.Pr..F.","LM_vs_BM.Df","LM_vs_BM.SumOfSqs","LM_vs_BM.R2","LM_vs_BM.F","LM_vs_BM.Pr..F.","LM_vs_C.Df","LM_vs_C.SumOfSqs","LM_vs_C.R2","LM_vs_C.F","LM_vs_C.Pr..F.","LM_vs_LH.Df","LM_vs_LH.SumOfSqs","LM_vs_LH.R2","LM_vs_LH.F","LM_vs_LH.Pr..F.","LM_vs_BH.Df","LM_vs_BH.SumOfSqs","LM_vs_BH.R2","LM_vs_BH.F","LM_vs_BH.Pr..F.","BM_vs_C.Df","BM_vs_C.SumOfSqs","BM_vs_C.R2","BM_vs_C.F","BM_vs_C.Pr..F.","BM_vs_LH.Df","BM_vs_LH.SumOfSqs","BM_vs_LH.R2","BM_vs_LH.F","BM_vs_LH.Pr..F.","BM_vs_BH.Df","BM_vs_BH.SumOfSqs","BM_vs_BH.R2","BM_vs_BH.F","BM_vs_BH.Pr..F.","C_vs_LH.Df","C_vs_LH.SumOfSqs","C_vs_LH.R2","C_vs_LH.F","C_vs_LH.Pr..F.","C_vs_BH.Df","C_vs_BH.SumOfSqs","C_vs_BH.R2","C_vs_BH.F","C_vs_BH.Pr..F.","LH_vs_BH.Df","LH_vs_BH.SumOfSqs","LH_vs_BH.R2","LH_vs_BH.F","LH_vs_BH.Pr..F."
"Treatment","Spp ~ Treatment , strata = Null , permutations 999",1,0.17581552087996,0.105154495254921,1.64515877407047,0.197,1,0.071010640456623,0.0435203253472213,0.637007320706821,0.62,1,0.149657837749831,0.132365505392103,2.135826879874,0.104,1,0.912406079916105,0.368784207358925,8.17941972177611,0.003,1,0.118870329805476,0.0729363976671097,1.10144499770025,0.334,1,0.136066483638459,0.0816021454237045,1.24393804954926,0.318,1,0.471217679397742,0.33116333160049,6.93186671942082,0.001,1,0.399908279914891,0.206958669132862,3.6535565740211,0.029,1,0.15346587667546,0.0938576510094234,1.45011113937639,0.206,1,0.415666024957391,0.290297513819399,5.72657595627664,0.001,1,0.847389674089876,0.346681478937831,7.42905726480664,0.002,1,0.0372894003685953,0.0235500164955526,0.337651939687124,0.831,1,1.4743294822424,0.591730393665165,20.2910659592871,0.002,1,0.585873186031093,0.377416779421997,8.48695361079997,0.001,1,0.845934816401615,0.353490770409461,7.654756590044,0.001
"Residual","Spp ~ Treatment , strata = Null , permutations 999",14,1.49615789741033,0.894845504745079,NA,NA,14,1.56065548083438,0.956479674652779,NA,NA,14,0.980982938383677,0.867634494607897,NA,NA,14,1.56168598180847,0.631215792641075,NA,NA,14,1.51091032303145,0.92706360233289,NA,NA,14,1.53137109330218,0.918397854576296,NA,NA,14,0.951698550851479,0.66883666839951,NA,NA,14,1.53240159427627,0.793041330867138,NA,NA,14,1.48162593549926,0.906142348990577,NA,NA,14,1.01619613427552,0.709702486180601,NA,NA,14,1.59689917770031,0.653318521062169,NA,NA,14,1.5461235189233,0.976449983504447,NA,NA,14,1.01722663524961,0.408269606334835,NA,NA,14,0.966450976472601,0.622583220578003,NA,NA,14,1.54715401989739,0.646509229590539,NA,NA
"Total","Spp ~ Treatment , strata = Null , permutations 999",15,1.67197341829029,1,NA,NA,15,1.631666121291,1,NA,NA,15,1.13064077613351,1,NA,NA,15,2.47409206172457,1,NA,NA,15,1.62978065283693,1,NA,NA,15,1.66743757694064,1,NA,NA,15,1.42291623024922,1,NA,NA,15,1.93230987419116,1,NA,NA,15,1.63509181217472,1,NA,NA,15,1.43186215923291,1,NA,NA,15,2.44428885179019,1,NA,NA,15,1.5834129192919,1,NA,NA,15,2.49155611749201,1,NA,NA,15,1.55232416250369,1,NA,NA,15,2.39308883629901,1,NA,NA
