,Coverage,,
Treatment,mean,sd,std.error
BH,0.83,1.18,0.42
BM,1.76,1.54,0.55
LH,48.56,24.81,8.77
LM,17.63,21.62,7.64
W,0.00,0.00,0.00
C,0.00,0.00,0.00
